iter	Passed	Remaining
233	2053	6721
234	2062	6713
235	2070	6703
236	2079	6693
237	2087	6685
238	2096	6675
239	2104	6664
240	2113	6654
241	2121	6645
242	2130	6636
243	2139	6628
244	2147	6618
245	2156	6609
246	2165	6601
247	2173	6591
248	2182	6582
249	2191	6575
250	2201	6567
251	2209	6559
252	2218	6549
253	2226	6540
254	2235	6531
255	2243	6521
256	2252	6511
257	2261	6503
258	2270	6495
259	2278	6486
260	2287	6476
261	2296	6467
262	2304	6458
263	2313	6450
264	2322	6441
265	2331	6433
266	2340	6424
267	2348	6415
268	2357	6406
269	2366	6397
270	2374	6388
271	2383	6380
272	2392	6372
273	2402	6365
274	2410	6355
275	2419	6346
276	2428	6337
277	2436	6328
278	2445	6319
279	2454	6310
280	2463	6302
281	2472	6294
282	2480	6285
283	2489	6276
284	2498	6268
285	2506	6258
286	2515	6250
287	2524	6242
288	2533	6233
289	2542	6224
290	2551	6215
291	2559	6206
292	2568	6197
293	2576	6188
294	2585	6179
295	2594	6171
296	2603	6163
297	2612	6155
298	2621	6145
299	2629	6136
300	2638	6127
301	2647	6118
302	2656	6110
303	2664	6100
304	2673	6091
305	2681	6082
306	2690	6073
307	2699	6064
308	2708	6056
309	2717	6048
310	2726	6040
311	2735	6031
312	2744	6023
313	2752	6014
314	2761	6004
315	2770	5997
316	2779	5988
317	2788	5980
318	2797	5971
319	2805	5962
320	2814	5953
321	2823	5944
322	2831	5934
323	2840	5925
324	2849	5917
325	2858	5909
326	2866	5900
327	2875	5890
328	2883	5881
329	2892	5872
330	2901	5863
331	2909	5854
332	2918	5845
333	2927	5837
334	2936	5829
335	2945	5820
336	2954	5812
337	2962	5802
338	2971	5793
339	2979	5784
340	2988	5775
341	2997	5767
342	3007	5760
343	3017	5753
344	3027	5746
345	3061	5786
346	3070	5779
347	3080	5771
348	3159	5894
349	3169	5886
350	3180	5879
351	3199	5889
352	3213	5889
353	3242	5917
354	3252	5909
355	3261	5900
356	3271	5892
357	3279	5881
358	3288	5872
359	3297	5862
360	3306	5852
361	3315	5843
362	3324	5833
363	3333	5824
364	3341	5813
365	3350	5804
366	3359	5794
367	3368	5785
368	3377	5775
369	3385	5765
370	3395	5755
371	3403	5746
372	3412	5735
373	3420	5725
374	3429	5715
375	3438	5705
376	3447	5696
377	3455	5686
378	3464	5676
379	3473	5666
380	3481	5656
381	3490	5646
382	3499	5637
383	3507	5627
384	3516	5617
385	3525	5607
386	3534	5598
387	3543	5589
388	3552	5579
389	3560	5569
390	3569	5560
391	3578	5550
392	3587	5541
393	3596	5531
394	3605	5521
395	3613	5512
396	3622	5502
397	3631	5492
398	3640	5483
399	3649	5473
400	3657	5463
401	3666	5453
402	3675	5444
403	3684	5434
404	3693	5425
405	3701	5415
406	3710	5406
407	3720	5397
408	3728	5388
409	3738	5379
410	3746	5369
411	3755	5359
412	3763	5349
413	3772	5339
414	3781	5330
415	3791	5322
416	3800	5312
417	3808	5303
418	3817	5293
419	3825	5282
420	3833	5272
421	3843	5263
422	3853	5257
423	3862	5247
424	3871	5237
425	3879	5227
426	3888	5217
427	3896	5207
428	3905	5198
429	3914	5188
430	3922	5179
431	3932	5169
432	3940	5160
433	3949	5151
434	3958	5141
435	3967	5132
436	3975	5122
437	3984	5112
438	3993	5103
439	4001	5093
440	4010	5084
441	4019	5074
442	4028	5064
443	4037	5055
444	4046	5046
445	4054	5036
446	4063	5026
447	4071	5016
448	4079	5005
449	4087	4996
450	4096	4986
451	4104	4976
452	4112	4966
453	4121	4956
454	4129	4945
455	4137	4936
456	4146	4926
457	4155	4917
458	4163	4906
459	4171	4897
460	4180	4887
461	4189	4878
462	4198	4869
463	4207	4859
464	4215	4849
465	4224	4840
466	4232	4830
467	4241	4821
468	4250	4812
469	4259	4802
470	4267	4792
471	4276	4783
472	4284	4773
473	4292	4763
474	4300	4753
475	4309	4744
476	4318	4734
477	4326	4725
478	4334	4714
479	4343	4705
480	4352	4695
481	4360	4686
482	4368	4676
483	4377	4666
484	4386	4657
485	4394	4647
486	4403	4638
487	4411	4628
488	4419	4618
489	4428	4609
490	4436	4599
491	4445	4590
492	4453	4580
493	4462	4570
494	4471	4562
495	4480	4552
496	4488	4543
497	4497	4533
498	4505	4524
499	4514	4514
500	4522	4504
501	4531	4494
502	4539	4485
503	4548	4476
504	4556	4466
505	4564	4456
506	4573	4446
507	4581	4437
508	4589	4427
509	4598	4418
510	4607	4409
511	4616	4399
512	4624	4390
513	4633	4381
514	4642	4371
515	4650	4362
516	4659	4353
517	4668	4343
518	4676	4333
519	4684	4324
520	4693	4315
521	4702	4305
522	4710	4296
523	4718	4286
524	4727	4277
525	4736	4268
526	4744	4258
527	4753	4249
528	4761	4239
529	4770	4230
530	4779	4221
531	4788	4212
532	4796	4202
533	4805	4193
534	4813	4183
535	4822	4174
536	4830	4165
537	4839	4155
538	4848	4146
539	4856	4137
540	4865	4127
541	4873	4118
542	4882	4109
543	4890	4099
544	4902	4092
545	4912	4084
546	4924	4078
547	4933	4069
548	4942	4060
549	4954	4053
550	4963	4044
551	4974	4037
552	4985	4029
553	4994	4020
554	5002	4011
555	5011	4001
556	5020	3992
557	5029	3983
558	5037	3974
559	5046	3965
560	5055	3956
561	5064	3946
562	5072	3937
563	5080	3927
564	5089	3918
565	5098	3909
566	5106	3899
567	5114	3890
568	5124	3881
569	5132	3871
570	5141	3862
571	5149	3853
572	5158	3844
573	5167	3835
574	5176	3826
575	5185	3817
576	5195	3808
577	5203	3799
578	5212	3790
579	5221	3780
580	5229	3771
581	5238	3762
582	5247	3753
583	5255	3743
584	5264	3734
585	5273	3725
586	5282	3716
587	5290	3707
588	5299	3698
589	5308	3689
590	5317	3680
591	5326	3670
592	5334	3661
593	5343	3651
594	5351	3642
595	5360	3633
596	5369	3624
597	5377	3615
598	5385	3605
599	5394	3596
600	5403	3587
601	5412	3578
602	5420	3568
603	5429	3559
604	5437	3550
605	5446	3541
606	5455	3531
607	5464	3522
608	5472	3513
609	5481	3504
610	5489	3495
611	5498	3485
612	5507	3476
613	5515	3467
614	5523	3457
615	5531	3448
616	5540	3439
617	5549	3430
618	5558	3421
619	5567	3412
620	5576	3403
621	5585	3394
622	5593	3384
623	5602	3376
624	5611	3366
625	5620	3357
626	5629	3348
627	5638	3340
628	5647	3331
629	5656	3322
630	5665	3313
631	5674	3304
632	5683	3294
633	5691	3285
634	5701	3277
635	5712	3269
636	5721	3260
637	5730	3251
638	5739	3242
639	5748	3233
640	5756	3224
641	5765	3215
642	5774	3206
643	5783	3197
644	5792	3188
645	5801	3179
646	5810	3170
647	5818	3160
648	5827	3151
649	5836	3142
650	5845	3133
651	5854	3124
652	5863	3115
653	5872	3106
654	5880	3097
655	5889	3088
656	5898	3079
657	5907	3070
658	5915	3061
659	5924	3051
660	5933	3042
661	5941	3033
662	5950	3024
663	5959	3015
664	5969	3006
665	5977	2997
666	5987	2989
667	5996	2980
668	6005	2971
669	6014	2962
670	6023	2953
671	6032	2944
672	6041	2935
673	6050	2926
674	6058	2917
675	6067	2908
676	6076	2899
677	6085	2890
678	6094	2881
679	6102	2871
680	6111	2862
681	6119	2853
682	6128	2844
683	6137	2835
684	6146	2826
685	6155	2817
686	6164	2808
687	6173	2799
688	6183	2791
689	6191	2781
690	6199	2772
691	6207	2762
692	6216	2753
693	6224	2744
694	6233	2735
695	6241	2726
696	6251	2717
697	6259	2708
698	6269	2699
699	6278	2690
700	6287	2681
701	6296	2672
702	6305	2663
703	6314	2654
704	6322	2645
705	6331	2636
706	6341	2628
707	6351	2619
708	6360	2610
709	6369	2601
710	6378	2592
711	6387	2583
712	6396	2574
713	6404	2565
714	6413	2556
715	6421	2547
716	6430	2538
717	6439	2529
718	6448	2520
719	6456	2510
720	6464	2501
721	6473	2492
722	6482	2483
723	6491	2474
724	6499	2465
725	6507	2456
726	6516	2446
727	6524	2437
728	6534	2429
729	6542	2419
730	6552	2411
731	6561	2402
732	6569	2393
733	6578	2384
734	6587	2375
735	6596	2366
736	6604	2356
737	6613	2347
738	6622	2338
739	6630	2329
740	6639	2320
741	6648	2311
742	6657	2302
743	6666	2293
744	6674	2284
745	6683	2275
746	6693	2266
747	6701	2257
748	6709	2248
749	6718	2239
750	6727	2230
751	6736	2221
752	6745	2212
753	6754	2203
754	6763	2194
755	6773	2186
756	6782	2177
757	6791	2168
758	6799	2159
759	6808	2150
760	6817	2141
761	6825	2131
762	6834	2122
763	6842	2113
764	6851	2104
765	6859	2095
766	6868	2086
767	6877	2077
768	6886	2068
769	6896	2059
770	6904	2050
771	6913	2041
772	6922	2032
773	6930	2023
774	6939	2014
775	6948	2005
776	6957	1996
777	6966	1987
778	6975	1978
779	6984	1969
780	6994	1961
781	7003	1952
782	7012	1943
783	7021	1934
784	7030	1925
785	7039	1916
786	7048	1907
787	7057	1898
788	7065	1889
789	7074	1880
790	7082	1871
791	7091	1862
792	7099	1853
793	7108	1844
794	7117	1835
795	7125	1826
796	7134	1817
797	7143	1808
798	7152	1799
799	7160	1790
800	7169	1781
801	7178	1772
802	7186	1763
803	7195	1754
804	7203	1744
805	7211	1735
806	7219	1726
807	7227	1717
808	7236	1708
809	7245	1699
810	7254	1690
811	7263	1681
812	7272	1672
813	7285	1664
814	7295	1656
815	7304	1647
816	7313	1638
817	7322	1629
818	7330	1620
819	7339	1611
820	7347	1602
821	7356	1593
822	7365	1584
823	7373	1575
824	7382	1566
825	7392	1557
826	7400	1548
827	7408	1539
828	7417	1530
829	7426	1521
830	7435	1512
831	7443	1503
832	7452	1494
833	7460	1485
834	7469	1476
835	7478	1467
836	7488	1458
837	7496	1449
838	7505	1440
839	7514	1431
840	7523	1422
841	7531	1413
842	7540	1404
843	7550	1395
844	7558	1386
845	7567	1377
846	7575	1368
847	7584	1359
848	7593	1350
849	7601	1341
850	7610	1332
851	7618	1323
852	7627	1314
853	7636	1305
854	7645	1296
855	7653	1287
856	7662	1278
857	7671	1269
858	7680	1260
859	7689	1251
860	7699	1242
861	7707	1233
862	7716	1225
863	7726	1216
864	7735	1207
865	7743	1198
866	7752	1189
867	7760	1180
868	7769	1171
869	7777	1162
870	7786	1153
871	7795	1144
872	7804	1135
873	7813	1126
874	7821	1117
875	7830	1108
876	7839	1099
877	7847	1090
878	7856	1081
879	7864	1072
880	7873	1063
881	7882	1054
882	7891	1045
883	7900	1036
884	7909	1027
885	7918	1018
886	7928	1010
887	7937	1001
888	7947	992
889	7956	983
890	7965	974
891	7975	965
892	7985	956
893	7993	947
894	8003	938
895	8012	930
896	8021	921
897	8030	912
898	8038	903
899	8047	894
900	8056	885
901	8065	876
902	8075	867
903	8084	858
904	8093	849
905	8101	840
906	8110	831
907	8119	822
908	8127	813
909	8136	804
910	8144	795
911	8153	786
912	8162	777
913	8170	768
914	8178	759
915	8188	750
916	8197	741
917	8205	732
918	8213	723
919	8221	714
920	8230	706
921	8239	697
922	8247	688
923	8256	679
924	8264	670
925	8272	661
926	8281	652
927	8290	643
928	8299	634
929	8308	625
930	8316	616
931	8325	607
932	8334	598
933	8343	589
934	8352	580
935	8361	571
936	8369	562
937	8378	553
938	8387	544
939	8395	535
940	8405	526
941	8413	518
942	8422	509
943	8431	500
944	8439	491
945	8448	482
946	8456	473
947	8465	464
948	8473	455
949	8482	446
950	8491	437
951	8499	428
952	8508	419
953	8516	410
954	8525	401
955	8534	392
956	8543	383
957	8551	374
958	8560	365
959	8568	357
960	8577	348
961	8585	339
962	8594	330
963	8603	321
964	8611	312
965	8619	303
966	8628	294
967	8636	285
968	8645	276
969	8654	267
970	8663	258
971	8671	249
972	8680	240
973	8688	231
974	8697	223
975	8705	214
976	8714	205
977	8722	196
978	8731	187
979	8740	178
980	8749	169
981	8757	160
982	8766	151
983	8775	142
984	8783	133
985	8792	124
986	8800	115
987	8808	106
988	8817	98
989	8826	89
990	8834	80
991	8843	71
992	8851	62
993	8859	53
994	8868	44
995	8877	35
996	8885	26
997	8894	17
998	8903	8
999	8911	0
