iter	MultiClass
0	1.071003171
1	1.054575208
2	1.039282849
3	1.023047471
4	1.010658417
5	0.9969981537
6	0.985134309
7	0.9711657425
8	0.9589773934
9	0.9453840018
10	0.9309922389
11	0.9163632527
12	0.9053427556
13	0.8941996395
14	0.8811571878
15	0.8698040204
16	0.8597280716
17	0.8482093867
18	0.8341248954
19	0.822143546
20	0.8114525363
21	0.801772799
22	0.786637159
23	0.7763382835
24	0.7645162248
25	0.7536897404
26	0.7454715222
27	0.7357879314
28	0.7264227032
29	0.7185639783
30	0.7067967883
31	0.6963993915
32	0.6868129394
33	0.6771405252
34	0.6674924553
35	0.6599575213
36	0.6477218326
37	0.6363137326
38	0.6280624351
39	0.6194489711
40	0.6107318126
41	0.6056066912
42	0.5975755583
43	0.5896126658
44	0.5825265737
45	0.5730365232
46	0.565212219
47	0.5591130492
48	0.5512264691
49	0.5427349225
50	0.5361019297
51	0.5297611186
52	0.5212185595
53	0.5156515788
54	0.5102726234
55	0.5050847254
56	0.4967726192
57	0.4909554325
58	0.4849296354
59	0.4800311207
60	0.4737643223
61	0.4675112979
62	0.4600302663
63	0.455563985
64	0.4488741313
65	0.4433492046
66	0.4379305499
67	0.4307595806
68	0.4252680746
69	0.4206594964
70	0.4146616629
71	0.4099416226
72	0.4038887244
73	0.3981375041
74	0.3943943247
75	0.3891245615
76	0.3842508578
77	0.3795013645
78	0.3731283633
79	0.3692381493
80	0.3628460118
81	0.3583581198
82	0.353566773
83	0.3486634647
84	0.3438517792
85	0.3397782114
86	0.3351688319
87	0.3311656526
88	0.3274411252
89	0.3238918961
90	0.3201087334
91	0.3153199634
92	0.3110753986
93	0.3059458689
94	0.3027076071
95	0.2995036723
96	0.2956220707
97	0.2916104462
98	0.2885316878
99	0.2854503645
100	0.2824652424
101	0.2788209234
102	0.2754247364
103	0.2712752545
104	0.2681768999
105	0.2650518211
106	0.2614688744
107	0.2586679502
108	0.2555508816
109	0.251896132
110	0.2490107575
111	0.2461716358
112	0.2438228449
113	0.2410960887
114	0.2384189986
115	0.2359806807
116	0.2333030921
117	0.230314859
118	0.2279152859
119	0.2254871332
120	0.2230968942
121	0.2207680262
122	0.2186028095
123	0.2159274715
124	0.2133233074
125	0.2113394819
126	0.2094033942
127	0.2069452825
128	0.2049937794
129	0.202644979
130	0.2013330477
131	0.2000254617
132	0.1980305673
133	0.1963750377
134	0.1945663321
135	0.1929680835
136	0.1917548248
137	0.1899478732
138	0.1881282171
139	0.1864515094
140	0.1846804362
141	0.1832258632
142	0.1817983285
143	0.1807031292
144	0.1792990349
145	0.1779246291
146	0.1763527225
147	0.1748152928
148	0.1732257849
149	0.1716807913
150	0.170147918
151	0.1687419511
152	0.167506887
153	0.1662934514
154	0.1651010865
155	0.163672769
156	0.1625173389
157	0.1613815653
158	0.1602649543
159	0.1591670279
160	0.1578371907
161	0.1565657322
162	0.1552637706
163	0.1541219734
164	0.1530028102
165	0.1518013389
166	0.1503137557
167	0.1491019586
168	0.1476692358
169	0.1464976992
170	0.1451170051
171	0.1438966424
172	0.1427926914
173	0.1414886659
174	0.1402189495
175	0.1389822128
176	0.1377498852
177	0.1365470236
178	0.1353725937
179	0.1342256069
180	0.1335157683
181	0.1324041196
182	0.1313178266
183	0.1302560323
184	0.1295838907
185	0.1285536882
186	0.1275461752
187	0.1269006202
188	0.1259223655
189	0.1249651584
190	0.1243444123
191	0.123414346
192	0.1225602243
193	0.1216592482
194	0.1207769663
